image_id,true_label,predicted_label,raw_output
ISIC_0024646,akiec,mel,mel
ISIC_0027753,akiec,mel,mel
ISIC_0032404,akiec,nv,nv
ISIC_0029041,akiec,mel,mel
ISIC_0030491,akiec,mel,mel
ISIC_0026626,akiec,mel,mel
ISIC_0026702,akiec,mel,mel
ISIC_0030730,akiec,mel,mel
ISIC_0032014,akiec,nv,nv
ISIC_0027303,akiec,mel,mel
ISIC_0030487,akiec,mel,mel
ISIC_0033358,akiec,mel,mel
ISIC_0024948,akiec,mel,mel
ISIC_0031570,akiec,bcc,bcc
ISIC_0027294,akiec,nv,nv
ISIC_0031597,bcc,mel,mel
ISIC_0025031,bcc,nv,nv
ISIC_0031062,bcc,mel,mel
ISIC_0033579,bcc,mel,mel
ISIC_0024931,bcc,nv,nv
ISIC_0027058,bcc,nv,nv
ISIC_0033979,bcc,nv,nv
ISIC_0031721,bcc,mel,mel
ISIC_0028989,bcc,nv,nv
ISIC_0030644,bcc,nv,nv
ISIC_0031095,bcc,bcc,bcc
ISIC_0027473,bcc,nv,nv
ISIC_0025975,bcc,mel,mel
ISIC_0030177,bcc,mel,mel
ISIC_0026656,bcc,mel,mel
ISIC_0028750,bkl,mel,mel
ISIC_0030088,bkl,nv,nv
ISIC_0030026,bkl,mel,mel
ISIC_0027470,bkl,nv,nv
ISIC_0028920,bkl,nv,nv
ISIC_0031138,bkl,mel,mel
ISIC_0027960,bkl,nv,nv
ISIC_0031989,bkl,mel,mel
ISIC_0029029,bkl,nv,nv
ISIC_0026416,bkl,mel,mel
ISIC_0031761,bkl,unparsed,bcl
ISIC_0029195,bkl,bkl,bkl
ISIC_0029014,bkl,mel,mel
ISIC_0027275,bkl,mel,mel
ISIC_0029683,bkl,mel,mel
ISIC_0027488,df,bcc,bcc
ISIC_0030021,df,unparsed,bcl
ISIC_0030427,df,unparsed,bcl
ISIC_0024845,df,unparsed,bcl
ISIC_0030244,df,bcc,bcc
ISIC_0031358,df,mel,mel
ISIC_0032613,df,bcc,bcc
ISIC_0024330,df,bcc,bcc
ISIC_0026473,df,bkl,bkl
ISIC_0031827,df,bcc,bcc
ISIC_0031257,df,mel,mel
ISIC_0025954,df,mel,mel
ISIC_0033860,df,nv,nv
ISIC_0029297,df,nv,nv
ISIC_0032642,df,mel,mel
ISIC_0028847,mel,mel,mel
ISIC_0027102,mel,mel,mel
ISIC_0028508,mel,mel,mel
ISIC_0027282,mel,mel,mel
ISIC_0032833,mel,mel,mel
ISIC_0032425,mel,nv,nv
ISIC_0030653,mel,mel,mel
ISIC_0033654,mel,mel,mel
ISIC_0031745,mel,mel,mel
ISIC_0031005,mel,nv,nv
ISIC_0033392,mel,mel,mel
ISIC_0032019,mel,mel,mel
ISIC_0026870,mel,mel,mel
ISIC_0025268,mel,nv,nv
ISIC_0033593,mel,mel,mel
ISIC_0025438,nv,mel,mel
ISIC_0029881,nv,mel,mel
ISIC_0026399,nv,mel,mel
ISIC_0032189,nv,nv,nv
ISIC_0026609,nv,mel,mel
ISIC_0028332,nv,mel,mel
ISIC_0026562,nv,mel,mel
ISIC_0029768,nv,nv,nv
ISIC_0032832,nv,mel,mel
ISIC_0026214,nv,mel,mel
ISIC_0029215,nv,mel,mel
ISIC_0029752,nv,unparsed,bcl
ISIC_0032311,nv,nv,nv
ISIC_0032555,nv,mel,mel
ISIC_0030855,nv,vasc,vasc
ISIC_0027937,vasc,bcc,bcc
ISIC_0027983,vasc,bcc,bcc
ISIC_0033991,vasc,bkl,bkl
ISIC_0025197,vasc,unparsed,bcl
ISIC_0033230,vasc,mel,mel
ISIC_0031217,vasc,bcc,bcc
ISIC_0028680,vasc,bcc,bcc
ISIC_0027159,vasc,mel,mel
ISIC_0028188,vasc,mel,mel
ISIC_0026693,vasc,bcc,bcc
ISIC_0032538,vasc,bcc,bcc
ISIC_0029608,vasc,unparsed,bcl
ISIC_0024475,vasc,bcc,bcc
ISIC_0026490,vasc,bcc,bcc
ISIC_0024867,vasc,bcc,bcc
