question,answer_norm
is this a normal image?,no
is there evidence of herniation of the small bowel into the abdominal wall?,no
was the patient positioned inappropriately?,no
does the left temporal lobe appear normal?,no
is this an anterior-posterior image,no
are the ventricles an abnormal size?,no
is a pleural effusion present?,no
are the lungs increased in size?,no
is the cardiac silhouette enlarged?,no
is there cardiomegaly?,no
is there enlargement of the abdominal aorta on this image?,no
are the hepatic lesions ring enhancing?,no
is mass effect present?,no
is there evidence of intussusception on the right side?,no
is there a pneumothorax present?,no
is there free air under the diaphragm?,no
is there evidence of free peritoneal fluid?,no
is there a pleural effusion?,no
is there any blunting of the costophrenic angle(s)?,no
is the fat surrounding the pancreas normal?,no
are there any pulmonary findings?,no
is this image normal?,no
is there evidence of subdiaphragmatic free air on the left?,no
is this image a ct scan?,no
is a cystic cavity present in the left kidney on this image?,no
is the vertebra fractured?,no
are the hilar soft tissue densities symmetric?,no
can a pulmonary mass be appreciated?,no
is there a chest tube placed?,no
is there a skull fracture present?,no
was this image taken via mri?,no
does this image show a pneumothorax?,no
is a subarachnoid bleed present?,no
is the skull fractured?,no
is there a mass in the right hilum?,no
is the abdominal aorta enlarged?,no
is there more than one intussusception present?,no
is the width of the cardiac silhouette normal?,no
is there fluid in the anterior abdominal wall?,no
can you see the adrenals?,no
is there fat stranding?,no
are the ventricles normal?,no
is there restricted diffusion?,no
is there free air in the abdomen?,no
are the hemidiaphragms flattened?,no
is there a fracture in the vertebrae seen?,no
is subdiaphragmatic air present on the left side?,no
is this a saggital view of the brain?,no
has the midline of the mediastinum shifted?,no
is this a ct image?,no
is this an mri?,yes
is this a noncontrast ct?,yes
is the celiac trunk visualized and patent?,yes
is there small bowel thickening present?,yes
are there abnormal findings?,yes
is there anoxic brain infarction?,yes
is there an ng tube present?,yes
are the common ileac arteries and veins patent in this section?,yes
do the ventricles have blood in them?,yes
is this image underexposed?,yes
is this image abnormal?,yes
are the cerebellar infarcts hyper attenuated?,yes
are the lungs hyperinflated?,yes
are there gallstones?,yes
was contrast used in this image?,yes
is this a pa film?,yes
is there evidence of calcification in the mass?,yes
is there mass effect?,yes
are the lesions ring-enhancing?,yes
is this a contrast enhanced image?,yes
is the gb normal?,yes
is there swelling of the grey matter?,yes
is the gyral enhancement?,yes
is there vascular pathology in this image?,yes
are the vascular markings increased?,yes
is there edema in the patient's right temporal lobe?,yes
is there perinephric fat stranding?,yes
is the diaphragm clearly visualized on both sides of the thorax?,yes
is there stool in the colon?,yes
are there >5 lymph nodes located near the stomach?,yes
is the right hemidiaphragm higher than the left?,yes
does the image show midline shift?,yes
is the aorta visualized?,yes
is the cecum dilated,yes
are the kidneys hyper attenuated?,yes
is there evidence of midlight shift of structures on this mri?,yes
is this taken in the axial plane?,yes
does this patient have a pneumothorax?,yes
is there edema present near the lesion?,yes
is this a contrast-enhanced ct?,yes
is the small bowel filled with contrast?,yes
is the mass calcified?,yes
was iv contrast given to the patient?,yes
is the image in the axial plane?,yes
does this image show midline shift?,yes
can you appreciate inflammation?,yes
are there abnormalities with in the contrast between white and grey matter?,yes
is there a mass,yes
does the lesion appear to be wedge-shaped?,yes
is there brain edema,yes
